Date,Positive Total,Positive New,7-day confirmed case average,
11/19/21,835189,2757,2421.7143,
11/20/21,836973,1784,2478.5714,
11/21/21,838551,1578,2508.7143,
11/22/21,842289,3738,2597.2857,
11/23/21,845488,3199,2652.7143,
11/24/21,847947,2459,2620.8571,
11/25/21,848295,348,2266.1429,
11/26/21,850940,2645,2250.1429,
11/27/21,853350,2410,2339.5714,
11/28/21,855546,2196,2427.8571,
11/29/21,861381,5835,2727.4286,
11/30/21,866837,5456,3049.8571,
12/1/21,871740,4903,3399.0000,
12/2/21,876739,4999,4063.4286,
12/3/21,881354,4615,4344.8571,
12/4/21,884159,2805,4401.2857,
12/5/21,886448,2289,4414.5714,
12/6/21,892512,6064,4447.2857,
12/7/21,898046,5534,4458.4286,
12/8/21,903004,4958,4466.2857,
12/9/21,907852,4848,4444.7143,
12/10/21,912369,4517,4430.7143,
12/11/21,914884,2515,4389.2857,
12/12/21,917388,2504,4420.0000,
12/13/21,923739,6351,4461.0000,
12/14/21,929824,6085,4539.7143,
12/15/21,936093,6269,4727.0000,
12/16/21,942176,6083,4903.4286,
12/17/21,948055,5879,5098.0000,
12/18/21,951471,3416,5226.7143,
12/19/21,954758,3287,5338.5714,
12/20/21,964148,9390,5772.7143,
12/21/21,974363,10215,6362.7143,
12/22/21,985289,10926,7028.0000,
12/23/21,994000,8711,7403.4286,
12/24/21,997432,3432,7053.8571,
12/25/21,998487,1055,6716.5714,
12/26/21,1004939,6452,7168.7143,
12/27/21,1025101,20162,8707.5714,
12/28/21,1047851,22750,10498.2857,
12/29/21,1071796,23945,12358.1429,
12/30/21,1090485,18689,13783.5714,
12/31/21,1098688,8203,14465.1429,
1/1/22,1103515,4827,15004.0000,
1/2/22,1115161,11646,15746.0000,
1/3/22,1151476,36315,18053.5714,
1/4/22,1184540,33064,19527.0000,
1/5/22,1213892,29352,20299.4286,
1/6/22,1241095,27203,21515.7143,
1/7/22,1253973,12878,22183.5714,
1/8/22,1266051,12078,23219.4286,
1/9/22,1275840,9789,22954.1429,
1/10/22,1304141,28301,21809.2857,
1/11/22,1321585,17444,19577.8571,
1/12/22,1340419,18834,18075.2857,
1/13/22,1358428,18009,16761.8571,
1/14/22,1373731,15303,17108.2857,
1/15/22,1379991,6260,16277.1429,
1/16/22,1386460,6469,15802.8571,
1/17/22,1396447,9987,13186.5714,
1/18/22,1413392,16945,13115.2857,
1/19/22,1426206,12814,12255.2857,
1/20/22,1436926,10720,11214.0000,
1/21/22,1445418,8492,10241.0000,
1/22/22,1450069,4651,10011.1429,
1/23/22,1453980,3911,9645.7143,
1/24/22,1463757,9777,9615.7143,
1/25/22,1471595,7838,8314.7143,
1/26/22,1478265,6670,7437.0000,
1/27/22,1483853,5588,6703.8571,
1/28/22,1488610,4757,6170.2857,
1/29/22,1489033,423,5566.2857,
1/30/22,1491009,1976,5289.8571,
1/31/22,1496867,5858,4730.0000,
2/1/22,1501276,4409,4240.1429,
2/2/22,1504993,3717,3818.2857,
2/3/22,1508123,3130,3467.1429,
2/4/22,1509836,1713,3032.2857,
2/5/22,1511265,1429,3176.0000,
2/6/22,1512604,1339,3085.0000,
2/7/22,1515847,3243,2711.4286,
2/8/22,1518423,2576,2449.5714,
2/9/22,1520661,2238,2238.2857,
2/10/22,1522676,2015,2079.0000,
2/11/22,1524248,1572,2058.8571,
2/12/22,1525134,886,1981.2857,
2/13/22,1525933,799,1904.1429,
2/14/22,1527963,2030,1730.8571,
2/15/22,1529801,1838,1625.4286,
2/16/22,1531573,1772,1558.8571,
2/17/22,1533200,1627,1503.4286,
2/18/22,1534320,1120,1438.8571,
2/19/22,1534908,588,1396.2857,
2/20/22,1535488,580,1365.0000,
2/21/22,1536529,1041,1223.7143,
2/22/22,1537869,1340,1152.5714,
2/23/22,1539018,1149,1063.5714,
2/24/22,1540052,1034,978.8571,
2/25/22,1540402,350,868.8571,
2/26/22,1540994,592,869.4286,
2/27/22,1541507,513,859.8571,
2/28/22,1542649,1142,874.2857,
3/1/22,1543634,985,823.5714,
3/2/22,1544592,958,796.2857,
3/3/22,1545360,768,758.2857,
